ID,SiteID,ObservationTimeUTC,Value
418381,36005NY11790,2023-05-02 19:00:00.000,5.11
404857,36061NY10130,2023-05-02 20:00:00.000,5.18
407482,36061NY08552,2023-05-02 20:00:00.000,5.13
410166,36005NY12387,2023-05-02 20:00:00.000,4.73
412782,36061NY08454,2023-05-02 20:00:00.000,5.57
415450,36061NY09734,2023-05-02 20:00:00.000,5.22
418379,36005NY11790,2023-05-02 20:00:00.000,3.99
404858,36061NY10130,2023-05-02 21:00:00.000,5.08
407480,36061NY08552,2023-05-02 21:00:00.000,5.02
410167,36005NY12387,2023-05-02 21:00:00.000,4.53
412780,36061NY08454,2023-05-02 21:00:00.000,5.07
415451,36061NY09734,2023-05-02 21:00:00.000,5.32
418378,36005NY11790,2023-05-02 21:00:00.000,3.88
404859,36061NY10130,2023-05-02 22:00:00.000,5.91
407478,36061NY08552,2023-05-02 22:00:00.000,5.81
410168,36005NY12387,2023-05-02 22:00:00.000,4.73
412781,36061NY08454,2023-05-02 22:00:00.000,6.23
415452,36061NY09734,2023-05-02 22:00:00.000,5.85
418377,36005NY11790,2023-05-02 22:00:00.000,3.43
404851,36061NY10130,2023-05-02 23:00:00.000,6.01
407479,36061NY08552,2023-05-02 23:00:00.000,6.06
410169,36005NY12387,2023-05-02 23:00:00.000,5.32
412787,36061NY08454,2023-05-02 23:00:00.000,7.77
415453,36061NY09734,2023-05-02 23:00:00.000,5.67
418376,36005NY11790,2023-05-02 23:00:00.000,3.27
404852,36061NY10130,2023-05-03 00:00:00.000,6.34
407485,36061NY08552,2023-05-03 00:00:00.000,5.77
410162,36005NY12387,2023-05-03 00:00:00.000,5.0
412789,36061NY08454,2023-05-03 00:00:00.000,5.66
415454,36061NY09734,2023-05-03 00:00:00.000,5.43
418384,36005NY11790,2023-05-03 00:00:00.000,3.32
404853,36061NY10130,2023-05-03 01:00:00.000,5.82
407486,36061NY08552,2023-05-03 01:00:00.000,5.5
410161,36005NY12387,2023-05-03 01:00:00.000,5.14
412785,36061NY08454,2023-05-03 01:00:00.000,5.97
415446,36061NY09734,2023-05-03 01:00:00.000,5.65
418383,36005NY11790,2023-05-03 01:00:00.000,3.3
404854,36061NY10130,2023-05-03 02:00:00.000,5.42
407484,36061NY08552,2023-05-03 02:00:00.000,5.35
410163,36005NY12387,2023-05-03 02:00:00.000,5.22
412786,36061NY08454,2023-05-03 02:00:00.000,4.82
415447,36061NY09734,2023-05-03 02:00:00.000,5.05
418382,36005NY11790,2023-05-03 02:00:00.000,3.83
404850,36061NY10130,2023-05-03 03:00:00.000,4.87
407487,36061NY08552,2023-05-03 03:00:00.000,4.73
410159,36005NY12387,2023-05-03 03:00:00.000,4.67
412791,36061NY08454,2023-05-03 03:00:00.000,3.91
415448,36061NY09734,2023-05-03 03:00:00.000,4.81
418386,36005NY11790,2023-05-03 03:00:00.000,3.28
402429,36081NY09285,2023-05-03 04:00:00.000,3.71
404849,36061NY10130,2023-05-03 04:00:00.000,4.41
407488,36061NY08552,2023-05-03 04:00:00.000,4.45
410158,36005NY12387,2023-05-03 04:00:00.000,4.22
412790,36061NY08454,2023-05-03 04:00:00.000,3.97
415444,36061NY09734,2023-05-03 04:00:00.000,4.36
418385,36005NY11790,2023-05-03 04:00:00.000,4.67
402430,36081NY09285,2023-05-03 05:00:00.000,3.78
404847,36061NY10130,2023-05-03 05:00:00.000,4.28
407489,36061NY08552,2023-05-03 05:00:00.000,4.29
410160,36005NY12387,2023-05-03 05:00:00.000,4.15
412788,36061NY08454,2023-05-03 05:00:00.000,4.26
415445,36061NY09734,2023-05-03 05:00:00.000,4.15
418388,36005NY11790,2023-05-03 05:00:00.000,4.77
402431,36081NY09285,2023-05-03 06:00:00.000,3.78
404848,36061NY10130,2023-05-03 06:00:00.000,4.3
407491,36061NY08552,2023-05-03 06:00:00.000,4.35
410156,36005NY12387,2023-05-03 06:00:00.000,4.51
412792,36061NY08454,2023-05-03 06:00:00.000,3.9
415442,36061NY09734,2023-05-03 06:00:00.000,3.92
418389,36005NY11790,2023-05-03 06:00:00.000,3.88
402432,36081NY09285,2023-05-03 07:00:00.000,4.15
404846,36061NY10130,2023-05-03 07:00:00.000,4.43
407490,36061NY08552,2023-05-03 07:00:00.000,4.54
410157,36005NY12387,2023-05-03 07:00:00.000,4.88
412793,36061NY08454,2023-05-03 07:00:00.000,4.5
415443,36061NY09734,2023-05-03 07:00:00.000,3.99
418387,36005NY11790,2023-05-03 07:00:00.000,3.99
402433,36081NY09285,2023-05-03 08:00:00.000,3.63
404844,36061NY10130,2023-05-03 08:00:00.000,3.84
407492,36061NY08552,2023-05-03 08:00:00.000,3.86
410155,36005NY12387,2023-05-03 08:00:00.000,5.06
412794,36061NY08454,2023-05-03 08:00:00.000,3.98
415441,36061NY09734,2023-05-03 08:00:00.000,3.6
418391,36005NY11790,2023-05-03 08:00:00.000,4.13
402434,36081NY09285,2023-05-03 09:00:00.000,3.51
404845,36061NY10130,2023-05-03 09:00:00.000,4.02
407493,36061NY08552,2023-05-03 09:00:00.000,4.77
410154,36005NY12387,2023-05-03 09:00:00.000,4.95
412795,36061NY08454,2023-05-03 09:00:00.000,5.4
415439,36061NY09734,2023-05-03 09:00:00.000,4.12
418390,36005NY11790,2023-05-03 09:00:00.000,3.98
402435,36081NY09285,2023-05-03 10:00:00.000,4.2
404843,36061NY10130,2023-05-03 10:00:00.000,4.5
407496,36061NY08552,2023-05-03 10:00:00.000,6.13
410151,36005NY12387,2023-05-03 10:00:00.000,5.16
412797,36061NY08454,2023-05-03 10:00:00.000,4.97
415440,36061NY09734,2023-05-03 10:00:00.000,5.58
418392,36005NY11790,2023-05-03 10:00:00.000,5.33
402436,36081NY09285,2023-05-03 11:00:00.000,5.15
404842,36061NY10130,2023-05-03 11:00:00.000,5.07
407495,36061NY08552,2023-05-03 11:00:00.000,6.45
410152,36005NY12387,2023-05-03 11:00:00.000,5.68
412798,36061NY08454,2023-05-03 11:00:00.000,6.48
415437,36061NY09734,2023-05-03 11:00:00.000,5.37
418394,36005NY11790,2023-05-03 11:00:00.000,5.48
402437,36081NY09285,2023-05-03 12:00:00.000,6.46
404841,36061NY10130,2023-05-03 12:00:00.000,5.32
407494,36061NY08552,2023-05-03 12:00:00.000,7.33
410153,36005NY12387,2023-05-03 12:00:00.000,6.03
412796,36061NY08454,2023-05-03 12:00:00.000,7.29
415438,36061NY09734,2023-05-03 12:00:00.000,6.34
418393,36005NY11790,2023-05-03 12:00:00.000,7.05
402438,36081NY09285,2023-05-03 13:00:00.000,5.39
404840,36061NY10130,2023-05-03 13:00:00.000,6.31
407497,36061NY08552,2023-05-03 13:00:00.000,7.2
410150,36005NY12387,2023-05-03 13:00:00.000,6.63
412799,36061NY08454,2023-05-03 13:00:00.000,7.23
415436,36061NY09734,2023-05-03 13:00:00.000,6.59
418395,36005NY11790,2023-05-03 13:00:00.000,6.64
402439,36081NY09285,2023-05-03 14:00:00.000,4.79
404839,36061NY10130,2023-05-03 14:00:00.000,6.93
407499,36061NY08552,2023-05-03 14:00:00.000,6.12
410149,36005NY12387,2023-05-03 14:00:00.000,5.71
412800,36061NY08454,2023-05-03 14:00:00.000,5.78
415435,36061NY09734,2023-05-03 14:00:00.000,6.24
418396,36005NY11790,2023-05-03 14:00:00.000,6.31
402440,36081NY09285,2023-05-03 15:00:00.000,4.61
404838,36061NY10130,2023-05-03 15:00:00.000,6.13
407498,36061NY08552,2023-05-03 15:00:00.000,5.9
410148,36005NY12387,2023-05-03 15:00:00.000,5.2
412801,36061NY08454,2023-05-03 15:00:00.000,6.24
415434,36061NY09734,2023-05-03 15:00:00.000,6.6
418397,36005NY11790,2023-05-03 15:00:00.000,6.74
402441,36081NY09285,2023-05-03 16:00:00.000,5.22
404837,36061NY10130,2023-05-03 16:00:00.000,6.52
407500,36061NY08552,2023-05-03 16:00:00.000,6.63
410147,36005NY12387,2023-05-03 16:00:00.000,5.19
412802,36061NY08454,2023-05-03 16:00:00.000,7.82
415433,36061NY09734,2023-05-03 16:00:00.000,7.64
418398,36005NY11790,2023-05-03 16:00:00.000,6.37
402442,36081NY09285,2023-05-03 17:00:00.000,5.19
404836,36061NY10130,2023-05-03 17:00:00.000,6.7
407501,36061NY08552,2023-05-03 17:00:00.000,6.12
410146,36005NY12387,2023-05-03 17:00:00.000,5.85
412805,36061NY08454,2023-05-03 17:00:00.000,7.39
415432,36061NY09734,2023-05-03 17:00:00.000,7.39
418400,36005NY11790,2023-05-03 17:00:00.000,6.98
402443,36081NY09285,2023-05-03 18:00:00.000,4.89
404835,36061NY10130,2023-05-03 18:00:00.000,6.19
407504,36061NY08552,2023-05-03 18:00:00.000,5.71
410144,36005NY12387,2023-05-03 18:00:00.000,6.16
412803,36061NY08454,2023-05-03 18:00:00.000,5.58
415431,36061NY09734,2023-05-03 18:00:00.000,7.14
418399,36005NY11790,2023-05-03 18:00:00.000,9.07
402444,36081NY09285,2023-05-03 19:00:00.000,
404833,36061NY10130,2023-05-03 19:00:00.000,
407503,36061NY08552,2023-05-03 19:00:00.000,
410143,36005NY12387,2023-05-03 19:00:00.000,
412806,36061NY08454,2023-05-03 19:00:00.000,
415430,36061NY09734,2023-05-03 19:00:00.000,
418401,36005NY11790,2023-05-03 19:00:00.000,
402445,36081NY09285,2023-05-03 20:00:00.000,
404834,36061NY10130,2023-05-03 20:00:00.000,
407502,36061NY08552,2023-05-03 20:00:00.000,
410145,36005NY12387,2023-05-03 20:00:00.000,
412804,36061NY08454,2023-05-03 20:00:00.000,
415429,36061NY09734,2023-05-03 20:00:00.000,
418402,36005NY11790,2023-05-03 20:00:00.000,
402446,36081NY09285,2023-05-03 21:00:00.000,
404832,36061NY10130,2023-05-03 21:00:00.000,
407505,36061NY08552,2023-05-03 21:00:00.000,
410141,36005NY12387,2023-05-03 21:00:00.000,
412807,36061NY08454,2023-05-03 21:00:00.000,
415428,36061NY09734,2023-05-03 21:00:00.000,
418403,36005NY11790,2023-05-03 21:00:00.000,
